Datum;Timestamp;Schlusskurs
13.02.2003;1045094400;1.0779
14.02.2003;1045180800;1.0817
17.02.2003;1045440000;1.0704
18.02.2003;1045526400;1.0733
19.02.2003;1045612800;1.0726
20.02.2003;1045699200;1.0768
21.02.2003;1045785600;1.0839
24.02.2003;1046044800;1.0726
25.02.2003;1046131200;1.0803
26.02.2003;1046217600;1.0766
27.02.2003;1046304000;1.0798
28.02.2003;1046390400;1.0754
03.03.2003;1046649600;1.0798
04.03.2003;1046736000;1.0919
05.03.2003;1046822400;1.0974
06.03.2003;1046908800;1.0952
07.03.2003;1046995200;1.1029
10.03.2003;1047254400;1.1034
11.03.2003;1047340800;1.105
12.03.2003;1047427200;1.1024
13.03.2003;1047513600;1.0916
14.03.2003;1047600000;1.0776
17.03.2003;1047859200;1.0805
18.03.2003;1047945600;1.0606
19.03.2003;1048032000;1.0634
20.03.2003;1048118400;1.0615
21.03.2003;1048204800;1.0589
24.03.2003;1048464000;1.0644
25.03.2003;1048550400;1.0703
26.03.2003;1048636800;1.0654
27.03.2003;1048723200;1.0735
28.03.2003;1048809600;1.0724
31.03.2003;1049068800;1.0874
01.04.2003;1049155200;1.0906
02.04.2003;1049241600;1.0837
03.04.2003;1049328000;1.0711
